Country,Units,Scale,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Estimates Start After
Afghanistan,U.S. dollars,Units,n/a,n/a,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,2021
Albania,U.S. dollars,Units,"1,127.64","1,283.57","1,425.13","1,846.12","2,373.58","2,673.77","2,972.75","3,595.05","4,370.56","4,114.09","4,097.83","4,439.89","4,248.91","4,415.60","4,584.92","3,953.61",2021
Algeria,U.S. dollars,Units,"1,794.70","1,768.58","1,806.86","2,128.39","2,636.48","3,141.03","3,508.96","3,986.56","4,943.50","3,890.52","4,480.72","5,447.60","5,575.65","5,477.06","5,466.33","4,153.32",2019
Andorra,U.S. dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"49,030.23","51,957.31","45,713.97","45,630.20","46,299.28","38,877.49",2022
Angola,U.S. dollars,Units,681.129,645.145,872.658,982.806,"1,254.70","1,900.72","2,597.96","3,121.35","4,081.72","3,123.70","3,586.66","4,608.16","5,083.83","5,228.51","5,371.22","4,130.93",2021
Antigua and Barbuda,U.S. dollars,Units,"10,931.31","10,411.42","10,485.78","10,921.85","11,613.33","12,785.87","14,317.67","16,060.88","16,574.26","14,688.68","13,574.44","13,295.36","13,825.32","13,414.90","13,980.61","14,728.71",2022
Argentina,U.S. dollars,Units,"8,638.54","8,085.36","2,997.62","3,761.09","4,314.10","5,163.55","5,976.08","7,315.73","9,146.79","8,337.81","10,412.97","12,787.81","13,889.79","14,488.83","13,208.83","14,895.32",2010
Armenia,U.S. dollars,Units,620.638,692.287,779.122,923.387,"1,180.40","1,628.06","2,128.15","3,079.03","3,913.44","2,911.76","3,121.78","3,417.17","3,575.53","3,732.04","3,889.00","3,529.03",2020
Aruba,U.S. dollars,Units,"20,681.14","20,740.21","21,307.26","21,949.39","23,700.57","24,172.00","24,845.66","26,736.58","28,172.08","25,134.69","24,093.09","25,712.45","25,119.74","25,813.52","26,129.73","27,458.23",2021
Australia,U.S. dollars,Units,"20,895.37","19,486.70","21,692.20","27,288.86","32,852.83","36,232.39","37,948.95","45,180.94","49,194.24","45,770.39","56,577.95","67,270.22","68,449.59","65,200.82","61,616.04","51,412.41",2021
Austria,U.S. dollars,Units,"24,636.47","24,558.92","26,508.32","32,298.61","36,883.89","38,450.61","40,674.88","46,922.56","51,914.01","48,111.66","46,955.17","51,452.28","48,616.90","50,747.38","51,814.42","44,267.81",2022
